interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
900.00,1200.00,corridor_aggregated_5mins_all,144,28.78,187,4481,AGGREGATED,717,717,0.22,4493,43,0.07,336.93,38021.31,13.08,0.78,7449.11,336.93,3698.00
900.00,1200.00,corridor_aggregated_5mins_bus,0,0.26,0,22,AGGREGATED,0,0,0.00,20,43,0.00,664.74,339.54,6.64,0.40,44.74,687.33,1.00
900.00,1200.00,corridor_aggregated_5mins_gen,104,17.17,187,2721,AGGREGATED,436,436,0.13,2679,43,0.04,319.85,22681.69,13.78,0.82,3618.42,319.64,1658.00
1200.00,1500.00,corridor_aggregated_5mins_all,175,28.79,159,4281,AGGREGATED,837,837,0.22,4287,43,0.08,351.36,38038.95,12.54,0.75,8000.46,351.30,4344.00
1200.00,1500.00,corridor_aggregated_5mins_bus,0,1.34,0,128,AGGREGATED,4,4,0.01,121,43,0.01,572.27,1772.16,7.72,0.46,302.35,585.59,11.00
1200.00,1500.00,corridor_aggregated_5mins_gen,171,27.30,159,4131,AGGREGATED,828,828,0.21,4141,43,0.07,344.23,36071.41,12.80,0.77,7623.07,344.30,4286.00
1500.00,1800.00,corridor_aggregated_5mins_all,126,30.98,93,4811,AGGREGATED,979,979,0.23,4718,43,0.10,360.85,40925.86,12.22,0.73,8486.54,360.16,3342.00
1500.00,1800.00,corridor_aggregated_5mins_bus,0,3.58,0,308,AGGREGATED,20,20,0.03,297,43,0.03,615.63,4732.83,7.17,0.43,1011.63,630.07,225.00
1500.00,1800.00,corridor_aggregated_5mins_gen,126,26.66,93,4402,AGGREGATED,937,937,0.20,4325,43,0.07,340.70,35224.97,12.94,0.77,7338.51,340.43,3114.00
1800.00,2100.00,corridor_aggregated_5mins_all,120,45.45,125,6146,AGGREGATED,1327,1327,0.34,6109,43,0.15,394.68,60046.48,11.17,0.67,16245.50,394.69,7220.00
1800.00,2100.00,corridor_aggregated_5mins_bus,0,5.05,0,376,AGGREGATED,37,37,0.04,373,43,0.04,644.82,6673.50,6.85,0.41,1521.85,661.05,368.00
1800.00,2100.00,corridor_aggregated_5mins_gen,120,39.09,125,5631,AGGREGATED,1253,1253,0.30,5597,43,0.10,374.22,51643.93,11.78,0.70,14343.96,374.64,6725.00
2100.00,2400.00,corridor_aggregated_5mins_all,135,48.17,114,6402,AGGREGATED,1413,1413,0.36,6387,43,0.16,394.75,63632.65,11.17,0.67,16822.38,395.04,6767.00
2100.00,2400.00,corridor_aggregated_5mins_bus,0,5.39,0,412,AGGREGATED,32,32,0.04,414,43,0.05,620.41,7115.23,7.12,0.43,1691.35,633.81,497.00
